protein,task_id
EPHA5,7610506d-0aac-4867-81e2-5a10b3f231dc
EPHA6,d6ab96d3-4316-4666-9aa7-4a63d2a7cdf0
EPHA7,650a6eb7-c3a8-4c1e-b6f5-b6a3519bb0ac
EPHA8,64dee178-83be-45e9-be79-2dd1839d81b8
EPHA10,e0a06c74-227b-41fe-a531-e2a6a9931636
EPHB1,847574ee-814f-4748-b29a-c1b6750871bb
EPHB2,9178a707-a0e3-4c19-be6d-8207f59da9eb
EPHB3,747279ce-31d6-4fa6-9b3b-986a2ec090c6
EPHB4,08569dd0-81fe-4d2a-aba1-e020967d508a
EPHB6,30263d36-d7be-49b1-a75c-d210bf85a240
PTK2 (FAK),1153993e-78c7-45da-8562-e024d80b0838
PTK2B (PYK2),d1b643b0-672c-42d7-918e-9183e74640bd
FER,2d11abcf-c30f-4cd7-9f5f-49d1735f85d0
FES,b35973dd-9aaa-4a21-a096-b4e781a43639
FGFR1,52616cbb-e532-4cb8-8d3c-dec81dc54afe
FGFR2,f612b11a-ce48-45e6-9955-1694caa892fc
FGFR3,9a97e969-b450-4a65-8453-4b464b012e7d
FGFR4,a922e7a8-0d73-4bed-bceb-6945b5062213
IGF1R,2f5a36a9-6c19-412e-aa12-3862be33d3bd
INSR,d07e9bd0-74ba-41b2-8688-67824fb0cdfc
INSRR (IRR),e9d087fa-759d-4839-87c1-383ed4c0c84b
JAK1-b (JAK1~b),c79103c3-2881-49bd-9c63-3c095f532239
JAK2-b (JAK2~b),35faff1a-9482-4535-9af6-c51c19cf50a8
JAK3-b (JAK3~b),fcbc99df-5b3d-44f0-abf6-38af802b5f7d
TYK2-b (Tyk2~b),d7ff1399-ff73-4268-a959-1e3a0cbd470c
AATK (Lmr1),639a81e0-d92e-4b02-8274-ae26f9edea8e
LMTK2 (Lmr2),1808f1cb-f5e1-496c-ac95-73d37fc29ca7
LMTK3 (Lmr3),aad352fb-0712-4c0d-86b7-88225ab74f08
MET,594f909f-0647-4630-99c2-b0bbcf5928ab
MST1R (Ron),bccac687-a5f2-4393-b48c-8ee1c413c3b9
MUSK,4bea3742-fb8b-4a75-b348-f2d83bc661b8
CSF1R (FmS),cf1fff29-f800-49c8-aab8-24d07616bc98
FLT3,d256d04d-084f-4c64-a141-1fb694361cb2
KIT,37d6fd18-22d8-4446-bb85-ca2c5ebdbfb8
PDGFRA (PDGFRα),708dc153-2283-44cb-adc4-7843766e3719
PDGFRB (PDGFRβ),c8e51ec0-a51c-44c4-8867-2440fc6de807
RET,d912871e-e6fd-41d3-9e8d-fe5cd5a3e19a
ROR1,edaa141f-69f2-441c-8ae9-2d7a2b77e9c9
ROR2,205b27de-7bf7-4557-b4f8-dc8f7b6a2d78
RYK,82756e11-3083-4149-8fda-e24b6991805d
ROS1 (Ros),71d59733-a1aa-433f-842a-2e6b2a6f8946
SRC,d3981561-d20f-46b5-8cfd-271c901922e0
PTK6 (Brk),33dbc340-8183-4d3d-aabf-975c7e02d59b
SRMS (Srm),63fa18fe-9dea-4088-81e3-9ba687a1feac
SYK,25e300eb-c4c5-43cd-a425-dcc068b3207e
ZAP70,e83a9536-1701-4de8-91d3-29f096a12b16
TEK (TIE2),f6209965-50d7-4414-b4e4-11886d1c8060
TIE1,bc164908-f69c-4d2b-a02f-eede5023d353
NTRK1 (TRKA),2099d520-089f-4253-921d-799992e7d1da
NTRK2 (TRKB),7dfbe035-c410-4089-9e55-84353314d48d
NTRK3 (TRKC),9dc01356-6b54-40f9-bf42-3cbf5d8271b6
FLT1,33623d60-18d2-4b81-83d3-ae663cddc11a
FLT4,3305ac10-4956-4af2-8fbe-ae6725ed175a
KDR,77ba9fe5-e988-4317-ac51-f324d5b7eac0
STYK1 (SuRTK106),581fed51-d2b2-4c7d-b842-616d89c60446
TESK1,dcb8b34c-bb36-471c-9d4d-6c358cc3137d
TESK2,b76aec8b-f937-4677-abbb-cc2b15407877
LRRK1,79c322be-41df-418e-9582-195737732f25
LRRK2,f0e9f60c-a987-42c9-95fa-1689e720f00e
TNNI3K (HH498),906ea9e7-d393-4514-ba06-780f62ccec8d
ILK,be195352-65ea-436b-b97d-9a67ab4b3eaa
MAP3K12 (DLK),3cd47645-5572-487b-b176-7f8caf1c9599
